province,facility_count,coverage
BạcLiêu,0,0.0
VĩnhPhúc,0,0.0
BắcGiang,1,0.0031
CàMau,1,0.0031
HoàBình,1,0.0031
LạngSơn,1,0.0031
NinhBình,1,0.0031
QuảngTrị,1,0.0031
YênBái,1,0.0031
AnGiang,2,0.0062
BếnTre,2,0.0062
ĐắkNông,2,0.0062
GiaLai,2,0.0062
HậuGiang,2,0.0062
LaiChâu,2,0.0062
LàoCai,2,0.0062
NinhThuận,2,0.0062
SócTrăng,2,0.0062
SơnLa,2,0.0062
BắcKạn,3,0.0093
CaoBằng,3,0.0093
ĐiệnBiên,3,0.0093
HàTĩnh,3,0.0093
KiênGiang,3,0.0093
PhúYên,3,0.0093
BìnhĐịnh,4,0.0123
HảiDương,4,0.0123
ThừaThiênHuế,4,0.0123
TràVinh,4,0.0123
VĩnhLong,4,0.0123
HàGiang,5,0.0154
HàNam,5,0.0154
PhúThọ,5,0.0154
QuảngNgãi,5,0.0154
BìnhPhước,6,0.0185
LongAn,6,0.0185
TâyNinh,6,0.0185
TháiBình,6,0.0185
QuảngBình,7,0.0216
KhánhHòa,8,0.0247
ĐắkLắk,9,0.0278
QuảngNam,9,0.0278
TiềnGiang,9,0.0278
BìnhThuận,10,0.0309
LâmĐồng,10,0.0309
QuảngNinh,10,0.0309
ĐàNẵng,12,0.037
HảiPhòng,12,0.037
TháiNguyên,16,0.0494
NamĐịnh,17,0.0525
ThanhHóa,18,0.0556
TuyênQuang,18,0.0556
NghệAn,19,0.0586
BìnhDương,20,0.0617
ĐồngTháp,20,0.0617
KonTum,21,0.0648
CầnThơ,22,0.0679
HưngYên,33,0.1019
HồChíMinh,46,0.142
ĐồngNai,116,0.358
BàRịa-VũngTàu,177,0.5463
HàNội,302,0.9321
BắcNinh,324,1.0
