province,event_count,events_since_2000,last_event_year,total_deaths,total_damage_000usd,disaster_types,max_provinces_per_event,year_counts,disaster_score
Quang Nam,45,45,2022,2105,13925158.0,Drought; Flood; Storm,64,"{""2000"": 2, ""2001"": 1, ""2003"": 2, ""2004"": 1, ""2005"": 3, ""2006"": 3, ""2007"": 4, ""2008"": 3, ""2009"": 3, ""2010"": 1, ""2011"": 2, ""2013"": 7, ""2015"": 2, ""2016"": 1, ""2017"": 2, ""2018"": 1, ""2020"": 3, ""2021"": 1, ""2022"": 3}",1.0
Quang Ngai,41,41,2022,1791,13318348.0,Drought; Flood; Storm,64,"{""2000"": 2, ""2001"": 2, ""2003"": 1, ""2004"": 2, ""2005"": 3, ""2006"": 2, ""2007"": 4, ""2008"": 1, ""2009"": 3, ""2010"": 3, ""2011"": 1, ""2013"": 6, ""2015"": 2, ""2016"": 1, ""2017"": 2, ""2018"": 1, ""2019"": 1, ""2020"": 1, ""2021"": 2, ""2022"": 1}",0.9018
Binh Dinh,32,32,2021,1379,11116190.0,Drought; Flood; Storm,64,"{""2000"": 2, ""2001"": 1, ""2003"": 2, ""2004"": 1, ""2005"": 2, ""2006"": 1, ""2007"": 1, ""2008"": 2, ""2009"": 3, ""2010"": 1, ""2011"": 1, ""2013"": 3, ""2014"": 1, ""2015"": 1, ""2016"": 1, ""2017"": 2, ""2018"": 1, ""2019"": 3, ""2020"": 2, ""2021"": 1}",0.7095
Phu Yen,26,26,2022,1264,10700390.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2001"": 2, ""2003"": 2, ""2005"": 2, ""2006"": 1, ""2008"": 2, ""2009"": 2, ""2010"": 1, ""2013"": 3, ""2014"": 1, ""2015"": 1, ""2017"": 1, ""2019"": 2, ""2020"": 2, ""2021"": 1, ""2022"": 2}",0.6329
Ha Tinh,34,34,2020,1461,5991910.0,Flood; Storm,64,"{""2001"": 2, ""2002"": 1, ""2003"": 1, ""2005"": 1, ""2006"": 3, ""2007"": 2, ""2008"": 2, ""2009"": 2, ""2010"": 3, ""2011"": 1, ""2012"": 1, ""2013"": 4, ""2014"": 1, ""2016"": 3, ""2017"": 3, ""2019"": 2, ""2020"": 2}",0.6163
Quang Tri,36,36,2022,1458,4940210.0,Flood; Storm,64,"{""2000"": 2, ""2001"": 2, ""2003"": 1, ""2004"": 1, ""2005"": 3, ""2006"": 2, ""2007"": 3, ""2008"": 1, ""2009"": 2, ""2010"": 1, ""2011"": 2, ""2013"": 5, ""2016"": 2, ""2017"": 3, ""2018"": 1, ""2020"": 2, ""2022"": 3}",0.6065
Thua Thien - Hue,34,34,2022,1388,5931010.0,Flood; Storm,64,"{""2000"": 2, ""2003"": 1, ""2004"": 1, ""2005"": 1, ""2006"": 3, ""2007"": 3, ""2008"": 1, ""2009"": 2, ""2010"": 2, ""2011"": 2, ""2013"": 5, ""2016"": 3, ""2017"": 2, ""2019"": 1, ""2020"": 2, ""2022"": 3}",0.6027
Nghe An,34,34,2021,1237,5028817.0,Flood; Storm,64,"{""2001"": 2, ""2002"": 1, ""2003"": 1, ""2005"": 3, ""2006"": 2, ""2007"": 1, ""2008"": 2, ""2009"": 1, ""2010"": 3, ""2011"": 1, ""2012"": 2, ""2013"": 3, ""2014"": 1, ""2016"": 3, ""2017"": 3, ""2018"": 2, ""2019"": 1, ""2020"": 1, ""2021"": 1}",0.5562
Dak Lak,16,16,2022,1086,9972700.0,Drought; Flood; Storm,64,"{""2003"": 1, ""2005"": 1, ""2006"": 2, ""2007"": 1, ""2009"": 2, ""2010"": 1, ""2013"": 2, ""2015"": 1, ""2017"": 1, ""2019"": 1, ""2020"": 1, ""2021"": 1, ""2022"": 1}",0.5067
Quang Binh,28,28,2022,1263,4641710.0,Flood; Storm,64,"{""2000"": 1, ""2001"": 1, ""2004"": 1, ""2005"": 1, ""2006"": 2, ""2007"": 2, ""2008"": 3, ""2009"": 2, ""2010"": 2, ""2011"": 2, ""2013"": 3, ""2016"": 2, ""2017"": 1, ""2019"": 1, ""2020"": 3, ""2022"": 1}",0.5036
An Giang,16,16,2019,1261,7939257.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2001"": 1, ""2002"": 2, ""2004"": 1, ""2005"": 1, ""2006"": 3, ""2007"": 1, ""2011"": 1, ""2013"": 1, ""2015"": 2, ""2017"": 1, ""2019"": 1}",0.4869
Dong Thap,14,14,2019,1260,7738902.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2001"": 1, ""2002"": 1, ""2004"": 1, ""2005"": 1, ""2006"": 3, ""2007"": 1, ""2011"": 1, ""2013"": 1, ""2015"": 2, ""2019"": 1}",0.4661
Khanh Hoa,17,17,2020,822,9719390.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2003"": 1, ""2005"": 2, ""2006"": 2, ""2007"": 1, ""2008"": 1, ""2009"": 1, ""2010"": 1, ""2013"": 2, ""2015"": 2, ""2017"": 1, ""2018"": 1, ""2020"": 1}",0.4649
Kon Tum,14,14,2022,865,9737000.0,Drought; Flood; Storm,64,"{""2006"": 1, ""2009"": 3, ""2011"": 1, ""2013"": 3, ""2015"": 1, ""2017"": 1, ""2019"": 1, ""2020"": 1, ""2021"": 1, ""2022"": 1}",0.4486
Gia Lai,13,13,2020,906,9749000.0,Drought; Flood; Storm,64,"{""2005"": 1, ""2006"": 1, ""2009"": 3, ""2011"": 1, ""2013"": 2, ""2015"": 1, ""2017"": 1, ""2019"": 2, ""2020"": 1}",0.4477
Long An,12,12,2019,1156,7939002.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2001"": 1, ""2002"": 3, ""2004"": 1, ""2006"": 2, ""2011"": 1, ""2013"": 1, ""2015"": 1, ""2019"": 1}",0.4378
Thanh Hoa,31,31,2020,776,3365255.0,Flood; Storm,64,"{""2001"": 1, ""2003"": 1, ""2005"": 2, ""2006"": 2, ""2007"": 1, ""2008"": 2, ""2009"": 1, ""2010"": 2, ""2011"": 2, ""2012"": 2, ""2013"": 4, ""2014"": 1, ""2015"": 1, ""2016"": 2, ""2017"": 3, ""2018"": 2, ""2019"": 1, ""2020"": 1}",0.4163
Lam Dong,12,12,2020,795,9526200.0,Drought; Flood; Storm,64,"{""2002"": 1, ""2006"": 2, ""2007"": 1, ""2008"": 1, ""2009"": 1, ""2013"": 1, ""2015"": 2, ""2017"": 1, ""2019"": 1, ""2020"": 1}",0.4161
Da Nang City,22,22,2022,965,4508698.0,Flood; Storm,64,"{""2000"": 1, ""2004"": 1, ""2005"": 1, ""2006"": 2, ""2007"": 1, ""2009"": 2, ""2011"": 1, ""2013"": 6, ""2015"": 1, ""2017"": 1, ""2018"": 1, ""2020"": 2, ""2022"": 2}",0.4035
Can Tho city,10,10,2019,1074,7715002.0,Drought; Flood; Storm,64,"{""2000"": 2, ""2001"": 1, ""2004"": 1, ""2006"": 2, ""2011"": 1, ""2013"": 1, ""2015"": 1, ""2019"": 1}",0.403
Vinh Long,9,9,2019,1074,7715002.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2001"": 1, ""2004"": 1, ""2006"": 2, ""2011"": 1, ""2013"": 1, ""2015"": 1, ""2019"": 1}",0.3951
Tien Giang,7,7,2019,955,7540000.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2001"": 1, ""2006"": 2, ""2013"": 1, ""2015"": 1, ""2019"": 1}",0.3553
Ninh Thuan,10,10,2015,483,7565700.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2003"": 1, ""2005"": 1, ""2006"": 1, ""2007"": 1, ""2008"": 1, ""2009"": 1, ""2010"": 1, ""2013"": 1, ""2015"": 1}",0.3017
Lao Cai,23,23,2020,527,1942162.0,Flood; Storm,64,"{""2002"": 1, ""2003"": 2, ""2005"": 1, ""2006"": 1, ""2008"": 2, ""2009"": 1, ""2010"": 1, ""2011"": 3, ""2013"": 4, ""2014"": 1, ""2016"": 2, ""2017"": 2, ""2019"": 1, ""2020"": 1}",0.2775
Ben Tre,7,7,2019,495,7332120.0,Drought; Flood; Storm,64,"{""2001"": 1, ""2005"": 1, ""2006"": 2, ""2013"": 1, ""2015"": 1, ""2019"": 1}",0.2743
Binh Thuan,10,10,2019,347,7256355.0,Drought; Flood; Storm,64,"{""2000"": 1, ""2005"": 1, ""2006"": 3, ""2013"": 1, ""2015"": 2, ""2017"": 1, ""2019"": 1}",0.2718
Tra Vinh,6,6,2019,495,7290000.0,Drought; Flood; Storm,64,"{""2001"": 1, ""2006"": 2, ""2013"": 1, ""2015"": 1, ""2019"": 1}",0.2653
Quang Ninh,21,21,2022,549,1415139.0,Flood; Storm,64,"{""2003"": 1, ""2005"": 1, ""2006"": 2, ""2008"": 2, ""2009"": 1, ""2010"": 1, ""2011"": 2, ""2012"": 1, ""2013"": 4, ""2014"": 1, ""2015"": 1, ""2016"": 1, ""2019"": 1, ""2020"": 1, ""2022"": 1}",0.2527
Yen Bai,22,22,2022,615,422012.0,Flood; Storm,64,"{""2003"": 1, ""2006"": 2, ""2007"": 1, ""2008"": 1, ""2009"": 1, ""2011"": 2, ""2012"": 1, ""2013"": 2, ""2014"": 1, ""2016"": 2, ""2017"": 3, ""2018"": 1, ""2019"": 1, ""2020"": 1, ""2022"": 2}",0.2477
