name,category,subtype,lat,lon,addr_city,addr_province,addr_street,osm_type,osm_id
Bếp Ăn 0 Đồng Chú Long,social_facility,soup_kitchen,10.75134,106.62062,,,Đường số 4,node,13120817489
Can thiệp sớm Hùng Vương,social_facility,day_care,21.04843,105.78418,Hà Nội,Hà Nội,Ngõ 234 Hoàng Quốc Việt,node,11211967774
Câu Lạc Bộ Hưu Trí,social_facility,group_home,10.03524,105.77349,,,,node,5251201008
Cơ Sở Bảo Trợ Tâm Đức,social_facility,shelter,10.76592,106.70537,,,,node,7559549346
Cơ sở Cai nghiện Ma túy Số 2,social_facility,group_home,11.75939,108.13065,,,,way,1253457915
Cơ sở Cai nghiện Ma túy Số 7,social_facility,group_home,21.12908,105.43581,,,,way,1185438607
Cơ sở Cai nghiện ma tuý số 1 Hà Nội,social_facility,,21.0428,105.44945,,,,way,1193334312
Cơ sở Cai nghiện ma tuý tỉnh Lạng Sơn,social_facility,group_home,21.79173,106.70363,,,,way,721627427
Cơ sở Chăm sóc người bệnh tâm thần Vĩnh Long,social_facility,,10.22993,105.99769,,,,way,1119345122
Hội người mù Thành Phố,social_facility,,10.76627,106.68849,Ho Chi Minh City,,Cống Quỳnh,way,465295975
Làng May Mắn - Village Chance,social_facility,,10.77998,106.60078,Phường Bình Hưng Hòa A,TP. Hồ Chí Minh,Đường 18B,way,1369870088
Làng Nuôi dạy trẻ mồ côi Hoa Phượng,social_facility,,20.82814,106.71198,,,,way,240477300
Làng SOS Nhơn Bình,social_facility,,13.79817,109.19023,,,,way,194448017
Làng Thiếu niên Thủ Đức,social_facility,group_home,10.85016,106.75782,,,,way,499426668
Làng Trẻ Em Birla Hà Nội,social_facility,,21.04155,105.77857,,,,way,1064289885
Làng Trẻ em SOS Gò Vấp,social_facility,,10.83909,106.6458,,,,way,299949717
Làng Trẻ em SOS Hà Nội,social_facility,,21.0424,105.77929,Hà Nội,Hà Nội,,way,37765438
Làng Trẻ em SOS Hải Phòng,social_facility,,20.84582,106.7105,,,,way,240590374
Làng Trẻ em SOS Thanh Hóa,social_facility,,19.7885,105.79992,,,,way,1064289893
Làng Trẻ em SOS Thái Bình,social_facility,,20.46328,106.34931,,,,way,1064289892
Làng Trẻ em SOS Vinh,social_facility,,18.67983,105.68992,,,,way,1106602367
Làng Trẻ em SOS Đà Nẵng,social_facility,,16.03324,108.24385,,,,way,1537448766
Làng trẻ em SOS Việt Trì,social_facility,,21.32828,105.39549,,,,way,1064289886
Làng trẻ em SOS Điện Biên Phủ,social_facility,,21.38013,103.00713,,,,way,1064289883
Lưu xá Thanh niên - Làng Trẻ em SOS Vinh,social_facility,,18.68162,105.68941,,,,way,1540715278
Mái Ấm Khiếm Thị Thiên Hòa,social_facility,,21.17019,106.05013,Bắc Ninh,Bac Ninh,Đường Nguyễn Văn Cừ,node,13954152963
Mái ấm Pháp Hoa,social_facility,nursing_home,10.76327,106.49379,Hồ Chí Minh,,,node,12188480025
Nhà Hưu Dưỡng - Tu Viện Chúa Quan Phòng,social_facility,group_home,10.50369,105.50013,,,,node,8123620942
Nhà Hưu dưỡng Linh mục Giáo phận Xuân Lộc,social_facility,assisted_living,10.9562,106.87205,,,,way,583265524
Nhà Thiếu nhi Thạnh Hóa,social_facility,,10.65555,106.18038,,,,way,1183970320
Nhà Trọ Bùi Văn Nang,social_facility,group_home,10.0213,105.74227,,,,node,5257037777
Nhà hưu dưỡng Linh mục Giáo phận Bà Rịa,social_facility,group_home,10.41226,107.20664,,,,way,793093025
Nhà hưu dưỡng linh mục Chí Hòa,social_facility,nursing_home,10.78838,106.65484,,,,way,495698490
Nhà trọ Tính Trần,social_facility,group_home,10.0479,105.76107,,,,node,5245441789
Phương Đông Asahi,social_facility,nursing_home,21.06983,105.77446,,thành phố Hà Nội,Phố Viên,way,1378849373
Trung Tâm Dưỡng Lão Thị Nghè,social_facility,,10.79633,106.71021,,,,node,1001114480
Trung tâm Bảo trợ Cô nhi,social_facility,group_home,10.50888,107.189,,,,way,253641554
"Trung tâm Bảo trợ Người già, Người khuyết tật và Người tâm thần Thành phố Đồng Nai",social_facility,nursing_home,10.9658,106.91155,,,,way,1020789461
Trung tâm Bảo trợ Trẻ em Long Hải,social_facility,group_home,10.39426,107.23278,,,,way,268915943
Trung tâm Bảo trợ Trẻ em Vũng Tàu,social_facility,shelter,10.38969,107.10814,,,,way,672383382
Trung tâm Bảo trợ Trẻ em tỉnh Lào Cai,social_facility,shelter,22.48801,103.96399,,,,way,411390010
Trung tâm Bảo trợ Trẻ em đường phố thành phố Đà Nẵng,social_facility,,16.05746,108.21855,,,Đường Phan Châu Trinh,way,1521242056
Trung tâm Bảo trợ Xã hội Hường Hà Nguyệt,social_facility,nursing_home,21.6278,105.85061,,,,way,888768365
Trung tâm Bảo trợ xã hội 1 Hà Nội,social_facility,,21.18574,105.41274,,,,way,1066700484
Trung tâm Bảo trợ xã hội 2 Hà Nội,social_facility,,20.8072,105.71436,,,,way,1066700501
Trung tâm Bảo trợ xã hội 3 Hà Nội,social_facility,,21.01501,105.74148,,,,way,1066700481
Trung tâm Bảo trợ xã hội 3 Hà Nội (cơ sở 3),social_facility,,21.03326,105.772,,,Phố Nguyễn Hoàng,way,1066700500
"Trung tâm Bảo trợ xã hội Chăm sóc và Phục hồi chức năng người tâm thần, người rối nhiễu tâm trí tỉnh Khánh Hòa",social_facility,,12.25778,109.04199,,,,way,1529014293
Trung tâm Bảo vệ Bà mẹ & Trẻ em,social_facility,,10.51477,107.19521,,,,way,568980570
Trung tâm Chăm sóc người khuyết tật Hà Nội,social_facility,,21.15643,105.40564,,,,way,1066700477
