province,region,poverty_rate,poverty_data_level,source
Kon Tum,Central Highlands,26.4,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Gia Lai,Central Highlands,26.4,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Dak Lak,Central Highlands,26.4,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Dak Nong,Central Highlands,26.4,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Lam Dong,Central Highlands,26.4,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Can Tho city,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Long An,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Tien Giang,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Ben Tre,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Tra Vinh,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Vinh Long,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Dong Thap,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
An Giang,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Kien Giang,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Hau Giang,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Soc Trang,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Bac Lieu,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Ca Mau,Mekong River Delta,19.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Ha Giang,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Cao Bang,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Bac Kan,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Tuyen Quang,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Lao Cai,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Yen Bai,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Thai Nguyen,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Lang Son,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Bac Giang,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Phu Tho,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Dien Bien,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Lai Chau,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Son La,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Hoa Binh,Northern Midlands and Mountains,18.5,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
Thanh Hoa,North Central and Central Coast,8.2,region,"UNDP/MOLISA Multidimensional Poverty in Viet Nam (2016 MDP rate, VHLSS)"
